Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
1,1-Jan,6:00 PM,Kerala,1,0,0,0,1
2,2-Feb,6:00 PM,Kerala,3,0,0,0,3
3,3-Mar,8:30 PM,AP,-,-,1,0,40
4,3-Mar,8:30 PM,Andaman,-,-,0,0,10
5,3-Mar,8:30 PM,Bihar,-,-,0,1,15
6,3-Mar,8:30 PM,Chandigarh,-,-,0,0,13
7,3-Mar,8:30 PM,Chhattisgarh,-,-,0,0,8
8,3-Mar,8:30 PM,Delhi,-,-,6,2,97
9,3-Mar,8:30 PM,Goa,-,-,0,0,5
10,3-Mar,8:30 PM,Gujarat,-,-,3,6,73
11,3-Mar,8:30 PM,Haryana,-,-,21,0,40
12,3-Mar,8:30 PM,HP,-,-,0,1,3
13,3-Mar,8:30 PM,Kashmir,-,-,2,2,54
14,3-Mar,8:30 PM,Karnataka,-,-,5,3,83
15,3-Mar,8:30 PM,Kerala,-,-,19,1,234
16,3-Mar,8:30 PM,Ladakh,-,-,3,0,13
17,3-Mar,8:30 PM,MP,-,-,0,3,47
18,3-Mar,8:30 PM,Maharashtra,-,-,39,9,216
19,3-Mar,8:30 PM,Manipur,-,-,0,0,1
20,3-Mar,8:30 PM,Mizoram,-,-,0,0,1
21,3-Mar,8:30 PM,Odisha,-,-,0,0,3
22,3-Mar,8:30 PM,Puducherry,-,-,0,0,1
23,3-Mar,8:30 PM,Punjab,-,-,1,3,41
24,3-Mar,8:30 PM,Rajasthan,-,-,3,0,74
25,3-Mar,8:30 PM,TN,-,-,4,1,74
26,3-Mar,8:30 PM,Telengana,-,-,1,1,79
27,3-Mar,8:30 PM,Uttarakhand,-,-,2,0,7
28,3-Mar,8:30 PM,UP,-,-,14,0,101
29,3-Mar,8:30 PM,West Bengal,-,-,0,2,26
30,3-Mar,8:30 PM,Unassigned,-,-,0,0,38
31,4-Apr,5:00 PM,Andaman,-,-,15,0,33
32,4-Apr,5:00 PM,AP,-,-,321,31,1403
33,4-Apr,5:00 PM,Arunachal,-,-,1,0,1
34,4-Apr,5:00 PM,Assam,-,-,29,1,42
35,4-Apr,5:00 PM,Bihar,-,-,65,2,403
36,4-Apr,5:00 PM,Chandigarh,-,-,17,0,56
37,4-Apr,5:00 PM,Chhattisgarh,-,-,36,0,38
38,4-Apr,5:00 PM,Delhi,-,-,1092,56,3439
39,4-Apr,5:00 PM,Goa,-,-,7,0,7
40,4-Apr,5:00 PM,Gujarat,-,-,527,197,4082
41,4-Apr,5:00 PM,Haryana,-,-,209,3,310
42,4-Apr,5:00 PM,HP,-,-,25,1,40
43,4-Apr,5:00 PM,Kashmir,-,-,192,8,581
44,4-Apr,5:00 PM,Jharkhand,-,-,19,3,107
45,4-Apr,5:00 PM,Karnataka,-,-,223,21,557
46,4-Apr,5:00 PM,Kerala,-,-,369,4,496
47,4-Apr,5:00 PM,Ladakh,-,-,16,0,22
48,4-Apr,5:00 PM,MP,-,-,461,130,2660
49,4-Apr,5:00 PM,Maharashtra,-,-,1593,432,9915
50,4-Apr,5:00 PM,Manipur,-,-,2,0,2
51,4-Apr,5:00 PM,Meghalaya,-,-,0,1,12
52,4-Apr,5:00 PM,Mizoram,-,-,0,0,1
53,4-Apr,5:00 PM,Odisha,-,-,39,1,128
54,4-Apr,5:00 PM,Puducherry,-,-,5,0,8
55,4-Apr,5:00 PM,Punjab,-,-,90,19,357
56,4-Apr,5:00 PM,Rajasthan,-,-,768,51,2438
57,4-Apr,5:00 PM,TN,-,-,1210,27,2162
58,4-Apr,5:00 PM,Telengana,-,-,367,26,1012
59,4-Apr,5:00 PM,Tripura,-,-,2,0,2
60,4-Apr,5:00 PM,Uttarakhand,-,-,36,0,55
61,4-Apr,5:00 PM,UP,-,-,513,39,2203
62,4-Apr,5:00 PM,West Bengal,-,-,124,22,758
63,5-May,8:00 AM,Andaman,-,-,33,0,33
64,5-May,8:00 AM,AP,-,-,2289,60,3569
65,5-May,8:00 AM,Arunachal,-,-,1,0,4
66,5-May,8:00 AM,Assam,-,-,163,4,1185
67,5-May,8:00 AM,Bihar,-,-,1618,20,3636
68,5-May,8:00 AM,Chandigarh,-,-,189,4,289
69,5-May,8:00 AM,Chhattisgarh,-,-,102,1,447
71,5-May,8:00 AM,Delhi,-,-,8075,416,18549
72,5-May,8:00 AM,Goa,-,-,41,0,70
73,5-May,8:00 AM,Gujarat,-,-,9230,1007,16343
74,5-May,8:00 AM,Haryana,-,-,971,20,1923
75,5-May,8:00 AM,HP,-,-,111,5,313
76,5-May,8:00 AM,Kashmir,-,-,908,28,2341
77,5-May,8:00 AM,Jharkhand,-,-,256,5,563
78,5-May,8:00 AM,Karnataka,-,-,997,48,2922
79,5-May,8:00 AM,Kerala,-,-,575,9,1208
80,5-May,8:00 AM,Ladakh,-,-,43,0,74
81,5-May,8:00 AM,MP,-,-,4444,343,7891
82,5-May,8:00 AM,Maharashtra,-,-,28081,2197,65168
83,5-May,8:00 AM,Manipur,-,-,8,0,62
84,5-May,8:00 AM,Meghalaya,-,-,12,1,27
85,5-May,8:00 AM,Mizoram,-,-,1,0,1
86,5-May,8:00 AM,Nagaland,-,-,0,0,36
87,5-May,8:00 AM,Odisha,-,-,1050,7,1819
88,5-May,8:00 AM,Puducherry,-,-,14,0,51
89,5-May,8:00 AM,Punjab,-,-,1967,44,2233
90,5-May,8:00 AM,Rajasthan,-,-,5739,193,8617
91,5-May,8:00 AM,Sikkim,-,-,0,0,1
92,5-May,8:00 AM,TN,-,-,12000,160,21184
93,5-May,8:00 AM,Telengana,-,-,1412,77,2499
94,5-May,8:00 AM,Tripura,-,-,172,0,268
95,5-May,8:00 AM,Uttarakhand,-,-,102,5,749
96,5-May,8:00 AM,UP,-,-,4410,201,7445
97,5-May,8:00 AM,West Bengal,-,-,1970,309,5130
99,6-Jun,8:00 AM,Andaman,-,-,46,0,90
100,6-Jun,8:00 AM,AP,-,-,6232,180,13891
101,6-Jun,8:00 AM,Arunachal,-,-,61,1,187
102,6-Jun,8:00 AM,Assam,-,-,5333,11,7752
103,6-Jun,8:00 AM,Bihar,-,-,7390,62,9640
104,6-Jun,8:00 AM,Chandigarh,-,-,349,6,435
105,6-Jun,8:00 AM,Chhattisgarh,-,-,2173,13,2761
106,6-Jun,8:00 AM,DNH DND,-,-,77,0,203
107,6-Jun,8:00 AM,Delhi,-,-,56235,2680,85161
108,6-Jun,8:00 AM,Goa,-,-,478,3,1198
109,6-Jun,8:00 AM,Gujarat,-,-,23240,1827,31938
110,6-Jun,8:00 AM,Haryana,-,-,9502,232,14210
111,6-Jun,8:00 AM,HP,-,-,556,9,942
112,6-Jun,8:00 AM,Kashmir,-,-,4585,95,7237
113,6-Jun,8:00 AM,Jharkhand,-,-,1845,15,2426
114,6-Jun,8:00 AM,Karnataka,-,-,7683,226,14295
115,6-Jun,8:00 AM,Kerala,-,-,2152,22,4189
116,6-Jun,8:00 AM,Ladakh,-,-,616,1,964
117,6-Jun,8:00 AM,MP,-,-,10199,564,13370
118,6-Jun,8:00 AM,Maharashtra,-,-,88960,7610,169883
119,6-Jun,8:00 AM,Manipur,-,-,494,0,1227
120,6-Jun,8:00 AM,Meghalaya,-,-,42,1,47
121,6-Jun,8:00 AM,Mizoram,-,-,55,0,148
122,6-Jun,8:00 AM,Nagaland,-,-,168,0,434
123,6-Jun,8:00 AM,Odisha,-,-,4946,23,6859
124,6-Jun,8:00 AM,Puducherry,-,-,221,10,619
125,6-Jun,8:00 AM,Punjab,-,-,3764,138,5418
126,6-Jun,8:00 AM,Rajasthan,-,-,13618,405,17660
127,6-Jun,8:00 AM,Sikkim,-,-,50,0,88
128,6-Jun,8:00 AM,TN,-,-,47749,1141,86224
129,6-Jun,8:00 AM,Telangana,-,-,5582,253,15394
130,6-Jun,8:00 AM,Tripura,-,-,1085,1,1380
131,6-Jun,8:00 AM,Uttarakhand,-,-,2111,39,2831
132,6-Jun,8:00 AM,UP,-,-,15506,672,22828
133,6-Jun,8:00 AM,West Bengal,-,-,11719,653,17907
135,7-Jul,8:00 AM,Andaman,-,-,201,4,471
136,7-Jul,8:00 AM,AP,-,-,60024,1281,130557
137,7-Jul,8:00 AM,Arunachal,-,-,827,3,1484
138,7-Jul,8:00 AM,Assam,-,-,29080,94,38407
139,7-Jul,8:00 AM,Bihar,-,-,31350,282,48477
140,7-Jul,8:00 AM,Chandigarh,-,-,647,14,1016
141,7-Jul,8:00 AM,Chhattisgarh,-,-,5921,51,8761
142,7-Jul,8:00 AM,DNH DND,-,-,668,2,1064
143,7-Jul,8:00 AM,Delhi,-,-,119724,3936,134403
144,7-Jul,8:00 AM,Goa,-,-,4005,42,5704
145,7-Jul,8:00 AM,Gujarat,-,-,44074,2418,60285
146,7-Jul,8:00 AM,Haryana,-,-,27340,417,34254
147,7-Jul,8:00 AM,HP,-,-,1387,14,2506
148,7-Jul,8:00 AM,Kashmir,-,-,11842,365,19869
149,7-Jul,8:00 AM,Jharkhand,-,-,4176,103,10167
150,7-Jul,8:00 AM,Karnataka,-,-,46694,2230,118632
151,7-Jul,8:00 AM,Kerala,-,-,12159,70,22303
152,7-Jul,8:00 AM,Ladakh,-,-,1094,7,1378
153,7-Jul,8:00 AM,MP,-,-,21657,857,30968
154,7-Jul,8:00 AM,Maharashtra,-,-,248615,14729,411798
155,7-Jul,8:00 AM,Manipur,-,-,1672,4,2505
156,7-Jul,8:00 AM,Meghalaya,-,-,210,5,803
157,7-Jul,8:00 AM,Mizoram,-,-,234,0,408
158,7-Jul,8:00 AM,Nagaland,-,-,625,5,1566
159,7-Jul,8:00 AM,Odisha,-,-,19746,169,30378
160,7-Jul,8:00 AM,Puducherry,-,-,1958,48,3298
161,7-Jul,8:00 AM,Punjab,-,-,10509,370,15456
162,7-Jul,8:00 AM,Rajasthan,-,-,28385,663,40145
163,7-Jul,8:00 AM,Sikkim,-,-,214,1,610
164,7-Jul,8:00 AM,TN,-,-,178178,3838,239978
165,7-Jul,8:00 AM,Telengana,-,-,44572,505,60717
166,7-Jul,8:00 AM,Tripura,-,-,2962,21,4706
167,7-Jul,8:00 AM,Uttarakhand,-,-,3996,76,7065
168,7-Jul,8:00 AM,UP,-,-,46803,1587,81039
169,7-Jul,8:00 AM,West Bengal,-,-,46256,1536,67692
170,8-Aug,8:00 AM,Andaman,-,-,2586,45,3104
171,8-Aug,8:00 AM,AP,-,-,321754,3884,424767
172,8-Aug,8:00 AM,Arunachal,-,-,2822,7,4034
173,8-Aug,8:00 AM,Assam,-,-,83927,296,105774
174,8-Aug,8:00 AM,Bihar,-,-,117124,578,135035
175,8-Aug,8:00 AM,Chandigarh,-,-,2296,52,4155
176,8-Aug,8:00 AM,Chhattisgarh,-,-,16303,269,30092
177,8-Aug,8:00 AM,DNH DND,-,-,2042,2,2340
178,8-Aug,8:00 AM,Delhi,-,-,154171,4426,173390
179,8-Aug,8:00 AM,Goa,-,-,13186,183,17004
180,8-Aug,8:00 AM,Gujarat,-,-,76731,3006,95009
181,8-Aug,8:00 AM,Haryana,-,-,51620,682,63282
182,8-Aug,8:00 AM,HP,-,-,4450,35,5945
183,8-Aug,8:00 AM,Kashmir,-,-,28510,694,37163
184,8-Aug,8:00 AM,Jharkhand,-,-,26448,410,38435
185,8-Aug,8:00 AM,Karnataka,-,-,242229,5589,335928
186,8-Aug,8:00 AM,Kerala,-,-,49849,287,73855
187,8-Aug,8:00 AM,Ladakh,-,-,1757,34,2638
188,8-Aug,8:00 AM,MP,-,-,47467,1374,62433
189,8-Aug,8:00 AM,Maharashtra,-,-,562401,24399,780689
190,8-Aug,8:00 AM,Manipur,-,-,4239,28,6112
191,8-Aug,8:00 AM,Meghalaya,-,-,1049,10,2343
192,8-Aug,8:00 AM,Mizoram,-,-,589,0,1011
193,8-Aug,8:00 AM,Nagaland,-,-,3026,9,3922
194,8-Aug,8:00 AM,Odisha,-,-,73233,482,100934
195,8-Aug,8:00 AM,Puducherry,-,-,8968,221,14127
196,8-Aug,8:00 AM,Punjab,-,-,35747,1404,52526
197,8-Aug,8:00 AM,Rajasthan,-,-,65093,1043,80227
198,8-Aug,8:00 AM,Sikkim,-,-,1220,3,1627
199,8-Aug,8:00 AM,TN,-,-,362133,7231,422085
200,8-Aug,8:00 AM,Telengana,-,-,92837,827,124963
201,8-Aug,8:00 AM,Tripura,-,-,7433,103,11644
202,8-Aug,8:00 AM,Uttarakhand,-,-,13066,257,19235
203,8-Aug,8:00 AM,UP,-,-,167543,3423,225632
204,8-Aug,8:00 AM,West Bengal,-,-,130952,3176,159785
